churn,accountlength,internationalplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaleveminutes,totalevecalls,totalnightminutes,totalnightcalls,totalintlminutes,totalintlcalls,numbercustomerservicecalls
0,137.0,0,0.0,243.4,114.0,121.2,110.0,162.6,104.0,12.2,5.0,0.0
0,84.0,1,0.0,299.4,71.0,61.9,88.0,196.9,89.0,6.6,7.0,2.0
0,75.0,1,0.0,166.7,113.0,148.3,122.0,186.9,121.0,10.1,3.0,3.0
0,118.0,1,0.0,223.4,98.0,220.6,101.0,203.9,118.0,6.3,6.0,0.0
0,147.0,1,0.0,157.0,79.0,103.1,94.0,211.8,96.0,7.1,6.0,0.0
0,117.0,0,0.0,184.5,97.0,351.6,80.0,215.8,90.0,8.7,4.0,1.0
1,65.0,0,0.0,129.1,137.0,228.5,83.0,208.8,111.0,12.7,6.0,4.0
0,74.0,0,0.0,187.7,127.0,163.4,148.0,196.0,94.0,9.1,5.0,0.0
0,168.0,0,0.0,128.8,96.0,104.9,71.0,141.1,128.0,11.2,2.0,1.0
0,95.0,0,0.0,156.6,88.0,247.6,75.0,192.3,115.0,12.3,5.0,3.0
0,62.0,0,0.0,120.7,70.0,307.2,76.0,203.0,99.0,13.1,6.0,4.0
1,161.0,0,0.0,332.9,67.0,317.8,97.0,160.6,128.0,5.4,9.0,4.0
0,93.0,0,0.0,190.7,114.0,218.2,111.0,129.6,121.0,8.1,3.0,3.0
0,73.0,0,0.0,224.4,90.0,159.5,88.0,192.8,74.0,13.0,2.0,1.0
0,147.0,0,0.0,155.1,117.0,239.7,93.0,208.8,133.0,10.6,4.0,0.0
1,77.0,0,0.0,62.4,89.0,169.9,121.0,209.6,64.0,5.7,6.0,5.0
0,130.0,0,0.0,183.0,112.0,72.9,99.0,181.8,78.0,9.5,19.0,0.0
0,111.0,0,0.0,110.4,103.0,137.3,102.0,189.6,105.0,7.7,6.0,2.0
0,132.0,0,0.0,81.1,86.0,245.2,72.0,237.0,115.0,10.3,2.0,0.0
0,174.0,0,0.0,124.3,76.0,277.1,112.0,250.7,115.0,15.5,5.0,3.0
0,54.0,0,0.0,134.3,73.0,155.5,100.0,102.1,68.0,14.7,4.0,3.0
0,20.0,0,0.0,190.0,109.0,258.2,84.0,181.5,102.0,6.3,6.0,0.0
0,49.0,0,0.0,119.3,117.0,215.1,109.0,178.7,90.0,11.1,1.0,1.0
0,142.0,0,0.0,84.8,95.0,136.7,63.0,250.5,148.0,14.2,6.0,2.0
